0;2019-09-30
0;2018-08-10
0;2018-07-20
0;2018-08-10
0;2019-04-15
554;2018-10-01
515;2018-09-28
0;2018-09-10
0;2018-08-27
494;2018-08-10
0;2018-08-27
0;2018-09-10
0;2018-10-18
0;2018-09-18
577;2018-10-04
0;2018-10-18
0;2018-10-08
559;2018-09-24
0;2018-10-08
0;2018-11-14
560;2018-10-31
0;2018-11-14
0;2018-12-04
0;2018-10-29
0;2018-10-01
0;2018-10-29
0;2018-12-04
0;2018-10-15
0;2018-10-29
0;2018-11-12
0;2018-11-26
0;2018-12-04
0;2018-12-04
0;2018-10-15
0;2018-10-29
0;2018-11-12
0;2018-11-26
0;2018-12-04
0;2018-12-04
0;2018-10-15
0;2018-10-29
0;2018-11-12
0;2018-11-26
0;2018-12-04
0;2018-10-26
0;2018-10-19
0;2018-10-26
0;2018-10-12
0;2018-10-29
0;2018-10-15
504;2019-01-15
0;2018-11-28
495;2018-10-04
0;2018-10-22
496;2018-10-04
497;2018-10-04
498;2018-10-04
499;2018-10-04
0;2018-11-05
0;2018-11-14
0;2018-11-28
0;2018-11-20
0;2018-11-20
543;2018-10-02
0;2018-10-09
0;2018-10-23
0;2018-11-06
0;2018-11-20
0;2018-11-15
544;2018-10-02
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-15
547;2018-10-02
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-15
548;2018-10-02
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-15
549;2018-10-02
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-15
550;2018-10-02
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-15
551;2018-10-02
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-15
552;2018-10-02
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-15
553;2018-10-02
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-20
541;2018-11-06
0;2018-11-20
0;2018-11-13
542;2018-11-06
0;2018-11-13
0;2018-11-08
510;2018-11-01
0;2018-11-08
0;2018-11-15
0;2018-11-14
524;2018-09-25
0;2018-10-09
0;2018-10-23
0;2018-11-06
0;2018-11-14
0;2018-11-15
522;2018-09-25
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-15
523;2018-09-25
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-15
525;2018-09-25
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-15
528;2018-09-25
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-15
529;2018-09-25
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-15
530;2018-09-25
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-15
531;2018-09-25
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-15
532;2018-09-25
0;2018-10-09
0;2018-10-23
0;2018-11-01
0;2018-11-15
0;2018-11-06
513;2018-10-30
0;2018-11-06
0;2018-11-06
521;2018-10-30
0;2018-11-06
0;2018-11-19
